,Title,Date,day_of_week,month,Shows,len,title,season,episode,Unnamed: 0,show_id,type,director,cast,country,date_added,release_year,rating,duration,listed_in,description,Unnamed: 0.1,tconst,titleType,primaryTitle,isAdult,startYear,endYear,runtimeMinutes,genres
0,Suits: Season 5: No Puedo Hacerlo,2020-12-09,Wednesday,December,"['Suits', ' Season 5', ' No Puedo Hacerlo']",3.0,Suits, Season 5, No Puedo Hacerlo,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
1,Suits: Season 5: No Refills,2020-12-09,Wednesday,December,"['Suits', ' Season 5', ' No Refills']",3.0,Suits, Season 5, No Refills,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
2,Suits: Season 5: Compensation,2020-12-09,Wednesday,December,"['Suits', ' Season 5', ' Compensation']",3.0,Suits, Season 5, Compensation,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
3,Suits: Season 5: Denial,2020-12-09,Wednesday,December,"['Suits', ' Season 5', ' Denial']",3.0,Suits, Season 5, Denial,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
4,Suits: Season 4: Not Just a Pretty Face,2020-12-08,Tuesday,December,"['Suits', ' Season 4', ' Not Just a Pretty Face']",3.0,Suits, Season 4, Not Just a Pretty Face,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
5,Suits: Season 4: Intent,2020-12-08,Tuesday,December,"['Suits', ' Season 4', ' Intent']",3.0,Suits, Season 4, Intent,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
6,Suits: Season 4: Derailed,2020-12-07,Monday,December,"['Suits', ' Season 4', ' Derailed']",3.0,Suits, Season 4, Derailed,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
7,Suits: Season 4: Fork in the Road,2020-12-07,Monday,December,"['Suits', ' Season 4', ' Fork in the Road']",3.0,Suits, Season 4, Fork in the Road,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
8,Suits: Season 4: Respect,2020-12-07,Monday,December,"['Suits', ' Season 4', ' Respect']",3.0,Suits, Season 4, Respect,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
9,Suits: Season 4: Enough is Enough,2020-12-07,Monday,December,"['Suits', ' Season 4', ' Enough is Enough']",3.0,Suits, Season 4, Enough is Enough,1199.0,81194523.0,TV Show,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,"December 1, 2019",2018.0,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,3313406.0,tt1632701,show,Suits,0.0,2011,2019,44.0,"Comedy,Drama"
