	show_title	Timestamp	Title	Duration	Duration (s)	Type	Movie ID	Top Node ID	Device Type	Country	Date	day_of_week	month	show_excess
0	13TH	1	1	1	1	1	1	1	1	1	1	1	1	0
1	17 Again	1	1	1	1	1	1	1	1	1	1	1	1	0
2	2 States	1	1	1	1	1	1	1	1	1	1	1	1	0
3	21	1	1	1	1	1	1	1	1	1	1	1	1	0
4	21 Jump Street	1	1	1	1	1	1	1	1	1	1	1	1	0
5	22 Jump Street	1	1	1	1	1	1	1	1	1	1	1	1	0
6	3 Idiots	1	1	1	1	1	1	1	1	1	1	1	1	0
7	A Suitable Girl	1	1	1	1	1	1	1	1	1	1	1	1	0
8	Aiyaary	1	1	1	1	1	1	1	1	1	1	1	1	0
9	Along Came Polly	1	1	1	1	1	1	1	1	1	1	1	1	0
10	American Murder: The Family Next Door	1	1	1	1	1	1	1	1	1	1	1	1	0
11	Avengers: Age of Ultron	1	1	1	1	1	1	1	1	1	1	1	1	0
12	Bad Moms	1	1	1	1	1	1	1	1	1	1	1	1	0
13	Badla	1	1	1	1	1	1	1	1	1	1	1	1	0
14	Bareilly Ki Barfi	1	1	1	1	1	1	1	1	1	1	1	1	0
15	Brooklyn Nine	2	2	2	2	2	2	2	2	2	2	2	2	2
16	Brothers	1	1	1	1	1	1	1	1	1	1	1	1	0
17	Bypass Road	1	1	1	1	1	1	1	1	1	1	1	1	0
18	Captain America: Civil War	1	1	1	1	1	1	1	1	1	1	1	1	0
19	Chalte Chalte	1	1	1	1	1	1	1	1	1	1	1	1	0
20	Chance Pe Dance	1	1	1	1	1	1	1	1	1	1	1	1	0
21	Chilling Adventures of Sabrina 	8	8	8	8	8	8	8	8	8	8	8	8	8
22	Coach Carter	1	1	1	1	1	1	1	1	1	1	1	1	0
23	Crazy Rich Asians	1	1	1	1	1	1	1	1	1	1	1	1	0
24	Crazy, Stupid, Love	1	1	1	1	1	1	1	1	1	1	1	1	0
25	Definitely, Maybe	1	1	1	1	1	1	1	1	1	1	1	1	0
26	Dhamaal	1	1	1	1	1	1	1	1	1	1	1	1	0
27	Dhan Dhana Dhan Goal	1	1	1	1	1	1	1	1	1	1	1	1	0
28	Did You Hear About the Morgans?	1	1	1	1	1	1	1	1	1	1	1	1	0
29	Dil Chahta Hai	1	1	1	1	1	1	1	1	1	1	1	1	0
30	Dil Dhadakne Do	1	1	1	1	1	1	1	1	1	1	1	1	0
31	Dirty John 	9	9	9	9	9	9	9	9	9	9	9	9	9
32	Doctor Strange	1	1	1	1	1	1	1	1	1	1	1	1	0
33	Don	1	1	1	1	1	1	1	1	1	1	1	1	0
34	Don 2	2	2	2	2	2	2	2	2	2	2	2	2	0
35	Dostana	1	1	1	1	1	1	1	1	1	1	1	1	0
36	Ek Main Aur Ekk Tu	1	1	1	1	1	1	1	1	1	1	1	1	0
37	Emily in Paris 	1	1	1	1	1	1	1	1	1	1	1	1	1
38	Escape Room	1	1	1	1	1	1	1	1	1	1	1	1	0
39	Friends 	234	234	234	234	234	234	234	234	234	234	234	234	234
40	Friends with Benefits	1	1	1	1	1	1	1	1	1	1	1	1	0
41	Gabbar Is Back	1	1	1	1	1	1	1	1	1	1	1	1	0
42	Gilmore Girls 	133	133	133	133	133	133	133	133	133	133	133	133	133
43	Gilmore Girls: A Year in the Life 	4	4	4	4	4	4	4	4	4	4	4	4	4
44	Good Girls 	12	12	12	12	12	12	12	12	12	12	12	12	12
45	Gori Tere Pyaar Mein	1	1	1	1	1	1	1	1	1	1	1	1	0
46	Guilty	1	1	1	1	1	1	1	1	1	1	1	1	0
47	Happy New Year	1	1	1	1	1	1	1	1	1	1	1	1	0
48	Harry Potter and the Deathly Hallows: Part 1	1	1	1	1	1	1	1	1	1	1	1	1	0
49	Harry Potter and the Deathly Hallows: Part 2	1	1	1	1	1	1	1	1	1	1	1	1	0
50	Harry Potter and the Half	1	1	1	1	1	1	1	1	1	1	1	1	1
51	Harry Potter and the Order of the Phoenix	1	1	1	1	1	1	1	1	1	1	1	1	0
52	He's Just Not That Into You	1	1	1	1	1	1	1	1	1	1	1	1	0
53	Hitch	1	1	1	1	1	1	1	1	1	1	1	1	0
54	House of Cards 	1	1	1	1	1	1	1	1	1	1	1	1	1
55	How Do You Know	1	1	1	1	1	1	1	1	1	1	1	1	0
